 /for-sale/northam/northam/limpopo/11271/104577428,"Northam, Northam",21000000,2000 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104555525,NULL,1800000,100734 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104306526,"Wildebeeslaagte, Northam",23350000,10 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104555594,NULL,2053187,2044 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104510677,NULL,590000,411 m2
,,,
 /for-sale/northam/northam/limpopo/11271/102599746,NULL,7500000,584 ha
,,,
 /for-sale/northam/northam/limpopo/11271/104474208,NULL,755000,1170 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104494369,NULL,1750000,10 ha
,,,
 /for-sale/northam/northam/limpopo/11271/104448926,NULL,2680000,5 ha
,,,
 /for-sale/northam/northam/limpopo/11271/104455948,NULL,27850000,167 ha
,,,
 /for-sale/northam/northam/limpopo/11271/104380811,NULL,2000000,5 ha
,,,
 /for-sale/northam/northam/limpopo/11271/104308556,NULL,585000,350 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104308578,NULL,1000000,365 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104308552,NULL,795000,365 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104601320,NULL,429000,398 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104308567,NULL,1000000,365 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104367840,NULL,845000,352 m2
,,,
 /for-sale/northam/northam/limpopo/11271/101746741,NULL,1750000,10 ha
,,,
 /for-sale/northam/northam/limpopo/11271/104323805,NULL,2000000,5001 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104474211,NULL,755000,1170 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104329719,NULL,585000,NULL
,,,
 /for-sale/northam/northam/limpopo/11271/104348725,NULL,639000,365 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104345343,NULL,590000,588 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104345304,NULL,3240000,2426 m2
,,,
 /for-sale/northam/northam/limpopo/11271/101756123,"R510, Northam",4000000,131316 m2
,,,
 /for-sale/northam/northam/limpopo/11271/104329721,NULL,2653000,NULL
,,,
 /for-sale/northam/northam/limpopo/11271/104256045,NULL,14875000,1 239.502 ha
,,,
 /for-sale/northam/northam/limpopo/11271/104345307,NULL,3945000,105680 m2
,,,
